favourites,followers,friends,likes,lists,retweets,statuses
32,6683,6962,3,79,0,12197
562,201,413,104,0,39,3965
810,9078,6910,0,1290,0,343203
853,923,1088,0,181,0,24672
1278,282,254,1,2,0,606
10570,3738,3561,0,460,0,29276
3406,560,312,1,9,0,30502
0,521,229,0,280,0,324316
184,244,183,0,6,0,9258
2,89,212,0,25,0,4918
9474,129,220,3,5,0,5907
386,1608,1904,0,152,0,22640
810,9078,6910,0,1290,0,343203
869,1030,1048,0,194,0,27977
18816,319,273,0,29,0,64031
14216,1085,1703,4,38,1,16781
2003,211,236,3,0,1,4757
1,836,982,0,3,0,12276
718,134,90,0,12,0,3979
844,6317,5936,0,500,0,32334
2869,266,567,0,6,1,9259
115457,11028,624,3,86,1,81465
0,1258,150,0,628,0,1237993
715,1638,2536,1,180,1,53419
23125,362,135,0,56,0,12764
62,4632,4057,5,55,1,12171
6,155,244,0,26,0,20931
459,40,198,1,0,0,13752
28560,1790,822,3,38,0,29870
810,9078,6910,0,1290,0,343203
4016,14704,10398,1,935,0,88625
9713,78,156,0,0,0,17955
810,9078,6910,0,1290,0,343203
3,88,63,0,26,0,6210
282,1440,1449,0,166,0,21132
6519,8397,4861,0,156,0,154639
6143,292,318,2,2,0,8200
17,278,257,0,3,0,2526
0,701,430,0,4,0,7252
8129,240,140,2,16,0,4139
101,205,191,15,2,0,2110
71,113,578,0,2,0,479
7517,251,187,0,2,0,10261
5307,560,175,1,5,1,36472
4460,17,45,1,1,0,2775
171316,172,182,1,14,0,68088
91,3588,2433,0,138,0,174268
4,79,1,0,26,0,113099
196,65,56,5,0,1,803
21049,1625,2601,6,32,0,24421
8307,410,296,0,4,0,4091
2,89,212,0,25,0,4918
6611,7824,7383,0,1694,1,52615
832,847,1024,0,157,0,24135
283,352,58,2,9,2,171594
1948,299,160,1,1,1,9326
10570,3738,3561,1,460,0,29276
0,17,3,0,10,0,98534
41,1899,1975,1,367,0,17396
114,1268,854,0,46,0,36891
810,9078,6910,0,1290,0,343203
1760,1125,423,0,5,1,52712
12163,369,383,1,1,0,1384
810,9078,6910,0,1290,0,343203
12213,787,698,1,9,0,65641
981,895,1060,0,159,0,24568
2309,1855,1972,1,194,1,37426
14,132,52,0,39,0,38115
317,912,962,0,132,0,21047
240,48,38,2,0,1,357
1758,113,520,0,10,0,3989
0,6,3,0,6,0,213
36489,1018,960,0,11,0,88881
3,137,234,0,2,0,1573
810,9078,6910,0,1290,0,343203
21002,2413,90,0,27,0,113291
317,912,962,0,132,0,21047
0,21,159,0,2,0,39838
250,925,952,0,155,0,22185
9768,165,187,0,11,1,11480
426,772,1306,1,0,0,24670
1500,14,20,1,0,1,817
271,428,54,2,2,1,4861
2357,231,191,1,5,0,26294
1206,1076,1037,0,183,0,28299
35589,3476,1418,7,89,1,88279
19034,736,230,0,37,0,129141
12,190,126,0,86,0,9725
1421,169,713,0,1,0,2464
6519,8397,4861,0,156,0,154639
264,993,458,1,10,11,49832
318,1005,1045,0,180,0,22394
250,1412,1361,0,173,0,22422
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,0,343203
20350,245,344,1,10,1,17798
103,18,220,0,1,0,8746
1189,808,892,0,174,0,35983
856,858,1040,0,182,0,24295
3538,571,72,2,17,0,10448
810,9078,6910,0,1290,0,343203
805,2881,372,1,67,0,18706
367,90,13,0,2,0,4059
8586,100,95,0,16,0,6156
1627,6493,5976,1,250,0,13215
0,1258,150,0,628,0,1237993
5514,341,184,1,9,0,24056
865,990,974,0,193,0,27491
17,278,257,0,3,0,2526
942,1069,998,0,180,0,27840
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,0,343203
3419,1575,3076,1,173,0,3254
1467,5218,4606,0,243,0,8500
0,211,429,1,69,0,7932
18816,319,273,2,29,0,64031
45366,717,281,8,38,0,159504
18325,281,132,8,10,1,21016
211,1773,1513,1,53,0,96356
742,1001,824,1,109,0,5039
810,9078,6910,0,1290,0,343203
945,115,143,1,0,0,371
3757,484,501,1,1,0,22147
283,352,58,1,9,0,171594
42,20990,21492,0,284,0,18181
4699,167,193,1,4,0,2808
810,9078,6910,0,1290,0,343203
8148,57,189,0,3,0,7863
12,1127,1293,0,317,0,159292
325,1212,1227,0,175,0,22516
9060,256,1084,0,12,0,3542
9453,3044,2323,7,2,0,14026
242,673,590,0,228,2,129191
110,1093,4955,3,116,1,847
1,836,982,0,3,0,12276
558,210,128,1,1,0,1024
12136,6689,2539,348,14,123,6462
752,5451,765,1,34,0,179801
3141,2562,2975,0,425,0,6444
1709,4684,1474,0,117,0,7673
5956,946,603,0,9,0,104846
0,521,229,0,280,0,324316
976,913,1065,0,165,0,24181
1,30,109,0,21,0,17286
9116,171,144,3,4,0,7059
242,672,590,0,228,0,129174
10642,851,106,1,15,0,35872
16684,322,695,2,5,0,90533
13628,757,163,0,25,1,5530
11983,2728,148,14,146,6,29923
67268,1058,439,1,18,0,24961
2678,945,493,1,3827,0,206048
14,132,52,0,39,0,38115
981,895,1060,0,159,0,24568
35367,1910,370,1,12,1,15783
137,96,81,1,0,0,290
108,162,256,0,25,0,4641
1687,32,232,0,0,0,426
1,37,94,1,0,0,46
0,8,22,0,15,0,1494
5079,1036,222,0,36,0,11143
810,9078,6910,0,1290,0,343203
5770,304,144,0,1,0,6513
4068,1292,3747,1,7,0,9617
1589,2150,1161,0,28,0,4851
213,1527,469,2,119,2,3514
38655,8074,221,1,166,0,115675
7451,169,305,0,5,0,2088
5157,405,411,2,21,1,5077
9120,940,119,4,21,0,20511
0,2388,2502,0,132,0,75004
242,3237,3358,1,610,3,62669
123249,6063,487,3,106,0,522393
4,162,20,0,77,0,33261
832,847,1024,0,157,0,24135
21786,11957,209,28,96,4,11923
3,115,100,0,2,0,979
2,89,212,0,25,0,4918
233,3456,297,8,35,0,176513
3,423,2855,0,13,0,2330
2,89,212,0,25,0,4918
250,1412,1361,0,173,0,22422
11139,898,1101,0,18,0,12858
33835,869,849,0,56,0,60265
74,107,78,5,1,4,2244
1372,1992,1997,0,195,0,33064
1,140,93,0,270,0,50411
1762,249,164,0,4,0,15396
5152,930,1478,1,0,1,4507
38432,7102,74,97,98,53,32620
22441,145,171,1,3,1,22793
2090,157,48,4,5,0,3707
282,1440,1449,0,166,0,21132
21134,370,198,0,4,0,31296
19034,736,230,1,37,0,129141
1906,93,82,2,2,0,29955
2802,658,287,1,4,1,18921
20798,1658,188,1,17,0,28091
19466,99,192,0,0,0,13721
810,9078,6910,0,1290,0,343203
39401,5693,150,8,55,1,17333
13633,478,395,0,37,0,45262
810,9078,6910,3,1290,5,343203
2478,240,195,3,1,4,5254
810,9078,6910,0,1290,0,343203
6780,989,146,1,22,0,9977
810,9078,6910,1,1290,1,343203
0,43,58,1,6,0,31967
4681,725,598,3,2,1,2859
4290,418,229,2,0,1,7647
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,0,343203
11199,1619,1440,7,104,0,25497
32110,1917,996,1,21,1,56621
250,925,952,0,155,0,22185
128,2856,3570,0,154,0,5241
1269,147,216,7,11,2,2211
6,155,244,0,26,0,20931
1,140,93,0,270,0,50411
560,725,4756,0,9,0,4203
17749,337,87,0,14,0,37475
9002,872,302,1,0,1,2666
31,290,725,0,60,0,2487
188,739,293,0,53,0,883
1,583,492,0,21,0,281961
2,89,212,0,25,0,4918
327,1161,1210,0,170,0,22586
22429,258,332,0,30,0,34468
9713,78,156,3,0,0,17955
3714,98,215,0,3,0,3956
16274,82,82,2,1,0,6419
976,913,1065,0,165,0,24181
3361,678,513,1,2,0,14484
0,254,223,0,397,0,30879
0,126,37,0,144,0,55166
841,92,255,0,0,0,986
715,1638,2536,2,180,2,53419
775,396,241,0,2,0,2246
469,934,402,0,344,0,32952
1738,138,368,0,4,0,3019
1206,1076,1037,0,183,0,28299
18545,101,134,4,3,0,13183
2,7581,2607,0,33,0,47836
2686,371,219,1,2,0,13438
4689,3022,1403,0,101,0,68156
1139,909,928,0,157,0,26969
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,0,343203
361,690,515,0,8,0,41454
810,9078,6910,0,1290,0,343203
21,4,100,1,0,0,26
242,672,590,0,228,0,129169
0,1258,150,0,628,0,1237993
810,9078,6910,0,1290,0,343203
239,627,202,0,5,0,11589
250,925,952,0,155,0,22185
960,141,464,6,11,0,2578
810,9078,6910,0,1290,0,343203
1050,692,149,21,13,4,3290
24,619,226,0,6,0,17457
